id,class_id,status,name_kr,name_en,origin_kr,look_kr,look_hex,battle_kr,description_kr
warrior_1,warrior,confirmed,막시무스,Maximus,로마 (영화 「글래디에이터」),검투사 계열 — 닫힌 철가면 투구 · 맨목 (기존 앵커 gladiator_helm),#8a2a2a,콜로세움 결투 — 게르마니아 전선 이후,로마 최고의 장군이었으나 황제 콤모두스의 배신으로 가족과 지위를 한꺼번에 잃고 노예 검투사로 전락한다. 콜로세움 모래바닥에서 살아남을수록 군중은 그를 영웅으로 불렀다. 국경을 지킨 장군보다 모래판 위에서 벌인 마지막 결투가 그를 전설로 만들었다.
warrior_2,warrior,confirmed,바바리안,Barbarian,북방 부족 (전승 원형),맨몸 문신 계열 — 맨몸에 부족 문신 · 맨머리 (기존 앵커 barbarian),#6a3a24,협곡 방어전 — 유목민 호드의 침공,문명의 손이 닿지 않는 북방 설원 부족에서 태어나 요람보다 먼저 도끼를 쥐었다. 부족 전체를 몰살하려던 유목민 호드가 협곡으로 밀려들던 날 홀로 길목을 막아 부족을 살렸다. 그날부터 이름 대신 그저 '바바리안'으로 불린다 — 계산이 아니라 분노로 싸우는 자.
warrior_3,warrior,confirmed,검황,Sword Emperor,동양 (전승 원형),판금 계열 — 백발백염 · 태양 문장 갑주 (기존 앵커 knight_sun_greybeard),#c8901e,구파 연합과의 최후 결전,무명소졸로 검을 잡아 아홉 개 문파를 차례로 꺾고 정점에 올랐다는 동양의 검객. 백발이 될 때까지 패배를 몰랐다는 소문이 그를 사람이 아닌 전설로 만들었다. 아홉 문파가 연합해 마지막으로 도전한 그 결전에서 홀로 전부를 상대하고도 검을 놓지 않아 검황이라는 칭호를 얻었다.
WARRIOR-P1,warrior,proposed,아킬레우스,Achilles,그리스 신화,판금 계열 — 청동색 흉갑 · 맨목·맨머리 (투구 미착용으로 검황과 실루엣 차별화),#8f855c,트로이 전쟁 — 헥토르와의 결투,여신의 아들로 태어나 창 하나로 트로이 성벽 앞 10년 전쟁의 균형을 홀로 뒤집었다. 트로이의 으뜸 장수 헥토르를 쓰러뜨린 순간이 그의 무용이 정점에 달한 때였다. 그러나 발뒤꿈치에 꽂힌 화살 한 대로 전설은 그대로 끝난다 — 가장 강한 자도 단 하나의 약점으로 무너진다는 것을 보여준 이름.
WARRIOR-P2,warrior,proposed,레오니다스,Leonidas,스파르타 (실존 · BC5세기),검투사 계열의 변형 — 볏 달린 닫힌 투구 · 진홍 서코트,#8a2a2a,테르모필레 전투 (BC480),스파르타의 왕으로 페르시아 대군을 맞아 테르모필레의 좁은 협곡에 단 300명을 세웠다. 수십만 대군을 사흘간 틀어막으며 '물러서지 않는다'는 말을 실제 죽음으로 증명했다. 그 사흘이 그리스 전체가 반격을 준비할 시간을 벌어준 방벽이었다.
WARRIOR-P3,warrior,proposed,여포,Lu Bu,중국 (삼국시대 · 실존),판금 계열 — 동양식 미늘 갑주(라멜라) · 맨목,#2c3a52,호로관 전투,후한 말 '사람 중엔 여포 말 중엔 적토마'로 불릴 만큼 최강의 무장으로 손꼽혔다. 호로관에서는 홀로 여러 장수를 상대로 밀리지 않았다는 전설을 남겼을 정도다. 그러나 신의를 거듭 저버린 성정 탓에 곁을 지킨 사람이 없었고 끝내 사로잡혀 처형됐다.
WARRIOR-P4,warrior,proposed,삼손,Samson,이스라엘 (성경),맨머리 계열 — 길게 땋은 머리카락이 실루엣 축,#3c3f24,가자 성문 사건,태어날 때부터 머리카락을 자르지 않는 조건으로 신에게서 괴력을 받은 이스라엘의 사사. 맨손으로 사자를 찢어 죽이고 홀로 필리스티아 군을 나귀 턱뼈 하나로 무찌르는 등 전설적인 힘을 자랑했다. 가자에서는 성문을 통째로 뜯어 어깨에 지고 산꼭대기까지 옮겨 적을 조롱했지만 결국 델릴라에게 머리카락의 비밀을 들켜 힘을 잃고 최후를 맞았다.
knight_1,knight,confirmed,오디세우스,Odysseus,그리스 신화,무안면 로마군 계열 — 얼굴 가린 투구 · 진홍 말총 볏 (기존 앵커 roman_mane_red),#8a2a2a,트로이 전쟁 — 목마 계책,그리스 연합군의 지략가로 10년째 끝나지 않던 트로이 공성전에 목마 하나로 마침표를 찍었다. 정작 전쟁보다 더 길었던 것은 귀향길 — 키클롭스와 세이렌 그리고 그를 잊어가던 고향과 싸워야 했다. 힘이 아니라 지략으로 성벽과 바다를 함께 넘은 이름.
knight_5,knight,confirmed,한니발,Hannibal,카르타고 (실존 · BC3세기),외치는 기사 계열 — 사슬 코이프 · 진홍 서코트 · 격한 표정 (기존 앵커 knight_shout_coif),#8a2a2a,칸나이 전투 (BC216),카르타고의 명장으로 코끼리 부대를 이끌고 알프스를 넘어 로마 본토를 기습했다. 칸나이 전투에서는 두 배가 넘는 로마군을 포위해 전멸시키며 서양 전쟁사에 남는 전술을 완성했다. 그 이름 하나만으로 로마 시민 전체가 공포에 떨었을 정도다.
KNIGHT-P1,knight,proposed,엘 시드,El Cid,카스티야 (실존 · 11세기),무안면 로마군 계열의 스페인식 변형 — 닫힌 철가면 투구 · 진홍 서코트,#8a2a2a,발렌시아 공방전 (1094),카스티야의 기사로 무어인과 그리스도교 세력 사이를 오가며 한 번도 전장에서 패하지 않았다는 전설을 남겼다. 발렌시아 공방전에서 도시를 함락시켜 스스로 다스렸다. 죽은 뒤에도 갑옷을 입혀 말에 태운 시신이 최후의 돌격을 이끌었다는 이야기가 전해진다 — 살아서도 죽어서도 성을 지킨 방패.
KNIGHT-P2,knight,proposed,리처드 1세,Richard the Lionheart,잉글랜드 (실존 · 12세기),민머리·금테 견갑 계열 — 판금 어깨판 · 청회 서코트,#2a3a7a,아르수프 전투 (1191),잉글랜드의 왕이면서 3차 십자군의 최전선에 선 사자심왕. 아크레 공성전을 함락시키고 아르수프 평원에서 살라딘의 대군을 정면으로 받아쳤다. 성지를 되찾지는 못했지만 적조차 그 용맹을 인정해 '사자의 심장'이라는 별명을 남겼다.
KNIGHT-P3,knight,proposed,성 조지,Saint George,로마 군인 (전승 · 3세기 · 성인전),판금 계열 — 순백 판금 갑주 · 맨목,#8a2a2a,용과의 결투 — 실레네를 구한 전설,카파도키아 출신의 로마 군인으로 신앙을 지키다 순교했다는 것이 원래 이야기였지만 후대에 다른 전설 하나가 그를 덮어썼다. 리비아의 도시 실레네가 마을을 위협하는 용에게 처녀를 제물로 바치던 차례 그가 나타나 창 한 자루로 용을 쓰러뜨리고 도시를 구했다. 공주를 살리고도 대가를 바라지 않은 채 다시 길을 떠났다는 결말이 그를 성인이자 기사도의 표상으로 만들었다. 잉글랜드를 비롯해 여러 나라가 그의 붉은 십자가를 깃발에 새겼다.
KNIGHT-P4,knight,proposed,살라딘,Saladin,아이유브 왕조 (실존 · 12세기),외치는 기사 계열의 중동식 변형 — 사슬 코이프 · 올리브 서코트,#6b6b3a,하틴 전투 (1187),아이유브 왕조를 세운 술탄으로 하틴 전투에서 십자군 주력을 사막 한복판에 몰아넣어 전멸시켰다. 그 여세로 예루살렘을 되찾았지만 적장 리처드 1세에게 의사를 보내는 등 기사도로도 이름을 남겼다. 정복자이면서 관용을 잃지 않은 드문 지휘관.
